c_text,hatespeech
@Laika66753508 @MartinaWeiss48 @reitschuster Meine Liebe.. Sie bilden sich anscheinend auch viel ein 🧐,0
@manaf12hassan Die Karte muss in Gesicht von Frau Merkel und Herr spahn hoch gezogen werden......,0
"@Tino_Chrupalla @Karl_Lauterbach Wenn Sie kackbraune Scheiße blau übermalen wie der kleine Anstreicher Chruppala bleibt es kackbraune AfD-Scheiße.

Setzen Sechs, Chrupalla!

🇩🇪 entlarvt die ALTPARTEI AfD!
#AfDrausausdenParlamenten https://t.co/W4zCnEsTTM",1
@DemokratDer @manuelak62 666,0
"@_agronym Junge was für Verfolgung, die befeuern aus ihren Eigentumswohnungen Querdenker und ich sage auf Twitter, dass ich das doof finde. Du weißt nichts von Verfolgung",0
@mamjahid Tja leider waren deine Eltern nicht Ärztin und Ingenieur. Überleg mal woran das wohl liegt. Sie haben sich für dich krumm gemacht. Und jetzt kommst du Schlaumeier und erzählst was vom 1. MAI. Das ist demütigend für deine Eltern.,0
"@FozzyTimeless @Hoellenaufsicht @Alice_Weidel @UweJunge Ja und ja. Ihre Erklärung dazu (die mich nicht ganz überzeugt):

https://t.co/0FCAKZfqtl",0
"@_Der_Ketzer_ @Fridoline17 @LarsWienand @BlackWi66664625 @Michael_Ballweg @ToleranzNaklar Querdenker belagern Impfzentren, verbreiten Lügen um Menschen vom Impfen abzuhalten, beleidigen und provozieren wenn man Maske trägt. Komm mir nicht mit, anderen Leuten ihre Rechte absprechen wollen.",1
"@karina140911 7. Monat im 2-Wochen-Lockdown, Jahr 2 der Erderhitzung!",0
@gaborhalasz1 Punkt 2 https://t.co/0sSOs5mCzt,0
@RLebedzow @danilaw63 @Karl_Lauterbach Hetzer? Gegen wen denn?,0
"@MarionaMarione @veritas60756463 @MelBurn02025218 @Karl_Lauterbach Dieser Hemlut ist einfach nur ein verstrahlter, egozentrischer Idiot, der es einfach genießt mehr Rechte als andere zu haben. Sein Gesabbel bringt uns nichts, solche Spinner erträgt man einfach.",0
"@konold @kritik_in_mir @HuebnerJohannes Pfizer eine Firma die anscheinend die gleiche Ethik wie Nazi Todesengel Mengele vertritt hat vor einigen Jahren als in Nigeria eine Mningitis Welle ausbrach, unter dem Vorwand humanitärer Hilfe,  verdeckt  Testmedikamente an Kids ausprobiert ...11 Kinder Tot, 200 behindert",1
"@pozzoblitz Also ich kenn ja solche Leute größtenteils noch aus meiner Emo Phase und die meisten sind halt einfach drogensüchtige assis geworden ohne groß politisch dabei zu sein, die aber antifa sticker immer ganz cool fanden v.a. die prolligen",0
"@quanten_sprung @greenpeace_de les halt nochmal nach, was ursprünglich beabsichtigt war. Genausogut könnte ich fragen, was aktuell überhaupt Zuschauer im Stadion verloren haben. Da nimmt man auch vieles billigend in Kauf ..",0
